qid	query	pub_desc	pub_narr
11910	persönlichkeit	Publications on personality psychology, trait models, assessment, development and applications.	Relevant publications present empirical research, theory, reviews or methodological work on personality structure (e.g., Big Five), trait measurement, personality development across the lifespan, personality and behavior relationships, clinical and differential aspects, cross-cultural comparisons, and applied uses (work, health). Include German and English works that explicitly treat 'Persönlichkeit' as personality/traits. Exclude uses of 'personality' in metaphorical/non-psychological senses (e.g., 'a city's personality'), organizational brand 'personality' absent individual trait measurement, or unrelated constructs like political personality unless tied to personality measures.
1168	political participation	Publications investigating forms, determinants and consequences of political participation and civic engagement.	Relevant publications examine voting, protest, petitioning, contacting officials, civic volunteering, membership in political organizations, digital political activity, mobilization, inequalities in participation, and theoretical or empirical analyses of determinants and effects. Include cross-national, national and local studies, methodological papers on measuring participation, and reviews. Exclude studies of non-political participation (e.g., purely recreational group participation) unless explicitly linked to civic or political engagement.
439	political efficacy	Publications on political efficacy, including internal and external efficacy, measurement and effects on political behavior.	Relevant publications present empirical, theoretical or methodological work on citizens' beliefs about their political influence (internal efficacy) and the responsiveness of institutions/authorities (external efficacy), including effects on turnout, participation and trust. Include cross-national comparisons, scale development, and studies linking efficacy to socio-demographic factors. Exclude works that use 'efficacy' in non-political contexts (e.g., medical treatment efficacy) or general self-efficacy unless explicitly connected to political contexts.
8932	political survey	Publications on political survey research, methodology, results from political opinion surveys and election studies.	Relevant publications include methodological papers on survey design for political research, reports of national and cross-national political surveys, analyses of survey findings on political attitudes, voting behavior and public opinion, and critiques of measurement. Include documentation of major survey projects and peer-reviewed studies using political survey data. Exclude surveys on non-political topics without political modules and opinion pieces lacking empirical survey evidence.
10109	politik	Scholarly and popular publications addressing politics in general: comparative and national studies of political systems, government, public policy, political parties, political institutions, public opinion, political theory, political communication and political history. Includes books, journal articles, reports and edited volumes where politics is the main subject.	Relevant items are publications whose primary focus is political phenomena, such as studies of institutions (parliaments, parties), policy analyses, public opinion research, political theory, and political communication. Include works in German or other languages that analyze politics at national, regional or comparative levels. Exclude publications where the term 'politics' appears only metaphorically, marginally, or as a minor subsection of an unrelated topic (e.g., purely administrative reports, corporate governance documents not addressing public politics). Exclude clinical, biological or technical uses of the word that are unrelated to political science.
9547	politik politisches verhalten	Publications focused on political behavior: voting behavior, electoral choices, political participation (voting, protesting, civic engagement), political socialization, political mobilization, and behavioral responses to campaigns and media.	Include empirical and theoretical works analyzing how individuals or groups behave politically—determinants of turnout, party choice, protest participation, political engagement across contexts. Include event studies, longitudinal analyses, experimental work on behavior, and comparative studies of participation. Exclude publications that discuss political institutions or policy without examining behavioral responses, or studies that treat behavior only as background without data or behavioral measures.
10059	politische bildung	Research and policy publications on political education/civic education: curricula, classroom interventions, teacher training, program evaluations, theoretical work on civic competence, and comparative studies of civic education systems.	Include evaluations and studies of formal and non-formal political education aimed at developing civic knowledge, skills and dispositions (school curricula, extracurricular programs, teacher guides, policy analyses). Include empirical pre-post assessments and comparative education research (e.g., ICCS-related studies). Exclude general education literature that does not address civic or political learning outcomes, or publications focused solely on administrative aspects without educational content.
10402	politische rechts links	Publications examining left–right ideology and political positioning: conceptual discussions of the left–right dimension, empirical studies of self-placement, party position analyses, cleavage research and ideological shifts over time and across countries.	Include works that theorize, measure or analyze the left–right dimension, ideological self-placement, and its relation to party competition, policy preferences or voting behavior. Include cross-national comparisons and studies using manifesto or expert coding to position parties. Exclude publications that use 'left'/'right' metaphorically outside political ideology (e.g., technical or spatial descriptors) or focus on unrelated axes without reference to ideological positioning.
10407	politische kompetenz	Publications on political competence (political literacy, civic competence): theoretical work and empirical studies addressing political knowledge, skills for political participation, decision-making capacity, political efficacy and competencies required for democratic citizenship.	Include research that defines, measures or evaluates political competence/civic competence, including longitudinal and intervention studies, theoretical frameworks, and comparative analyses (e.g., ICCS-related work). Include works linking competence to behavior and democratic outcomes. Exclude publications that use 'competence' in non-political senses (professional competencies unrelated to civic capacities) or studies that only superficially mention competence without conceptual or empirical treatment.
10701	politische orientierung	Publications presenting empirical or theoretical research on individuals' political orientation (e.g., left–right self-placement, partisan identification, ideological location) including cross-national comparisons, longitudinal studies, and conceptual discussions.	Relevant publications report empirical findings or theoretical analyses about political orientation as an attribute of individuals or groups. Included are journal articles, books, reports, and reviews that define, measure, or model political orientation (left–right scales, party attachment, ideological identification), discuss its determinants (socio-demographics, socialization), or analyze consequences (voting, attitudes). Exclude works that use 'orientation' in non-political senses (e.g., policy orientation of institutions without reference to ideology), purely normative political philosophy that does not address orientation as an empirical or measured concept, and publications focusing solely on elite or party platforms without linking to individual orientation.
2386	politische einstellung	Publications on political attitudes (politische Einstellung) covering measurement, determinants, structure, and effects of attitudes toward politics, institutions, and policy issues.	Relevant publications empirically or theoretically examine political attitudes at individual or group levels, including attitude formation, stability, and influence on behavior (voting, participation). Include studies addressing general political attitudes (trust in institutions, support for democracy) and specific issue attitudes when tied to broader attitude constructs. Exclude purely philosophical treatments of political doctrines disconnected from empirical attitude research, and works addressing clinical 'attitude' constructs outside political contexts.
565	politische partizipation	Scholarly works on political participation, covering forms of participation (voting, protest, civic engagement, online participation), causes, consequences, and measurement across contexts.	Relevant publications analyze empirical or theoretical aspects of political participation by individuals, groups, or communities. Include studies on conventional participation (voting, party membership), nonconventional forms (protests, petitions), digital/online participation, and cross-national or longitudinal analyses. Exclude texts focusing solely on administrative processes (e.g., election mechanics) without linking to participation behavior, or normative prescriptions without empirical investigation.
6591	politische ideologien	Publications on political ideologies covering conceptual frameworks, empirical measurement, ideology content (left/right, libertarian/authoritarian), party-ideology linkages, and historical or comparative analyses.	Relevant works examine political ideologies as coherent belief systems, their dimensions, measurement (scales, content analysis of manifestos), or impacts on politics and behavior. Include comparative studies of dominant ideologies, typologies, and research linking ideology to policy preferences and party systems. Exclude purely philosophical treatises that do not engage with ideology as an empirical or social-scientific concept, and topical studies that mention 'ideology' only tangentially without analysis.
8373	politische werte	Publications investigating political values (core normative beliefs about politics such as democratic values, egalitarianism, authority, civil liberties), their measurement, origins, and consequences.	Relevant publications study political values as stable normative orientations shaping political behavior and policy preferences, including cross-cultural comparisons, value change over time, and links to institutions. Include empirical analyses using survey measures (e.g., human values, civic values) and theoretical treatments that operationalize values for research. Exclude philosophical value debates without empirical linkage, or studies of non-political personal values not connected to political attitudes or behavior.
8931	politische einstellung övp spö	Scholarly works and reports that analyse citizens' political attitudes, evaluations, and preferences specifically toward Austria's major parties ÖVP and SPÖ, including comparative studies of party support.	Relevant publications include empirical studies, articles, books, and reports that measure or analyse attitudes, party sympathy, favourability, trust, vote intention, or evaluations specifically referencing the Austrian People's Party (ÖVP) and the Social Democratic Party of Austria (SPÖ). Include national and regional analyses, election studies, comparative research where ÖVP or SPÖ are distinct cases, and works addressing changes over time or determinants of attitudes toward these parties. Exclude materials that only discuss abstract or generic 'political attitudes' without specific reference to ÖVP or SPÖ, studies focused on other parties unless ÖVP/SPÖ are one of the main targets, and purely theoretical treatments with no empirical connection to these parties.
1112	politisches interesse	Research on political interest: conceptual discussions, empirical analyses of levels, determinants, consequences, and trends in citizens' interest in politics.	Relevant publications are empirical and theoretical works that define, measure, or analyze 'political interest' (interest in politics, attention to political news, curiosity about public affairs). Include cross-national comparisons, longitudinal trend studies, psychological and sociological investigations, and research linking political interest to participation, knowledge, or media use. Exclude studies that only address unrelated types of interest (e.g., interest groups) or that mention 'interest' without relation to citizens' attention or engagement with politics.
2630	politisches engagement	Studies and reports on political engagement and civic participation, covering conventional and non-conventional forms of engagement, volunteering, activism, and mobilization.	Relevant publications empirically or theoretically address individual and collective political engagement: voting, party membership, campaigning, contacting officials, protest, demonstrations, online activism, civic volunteering, and community engagement with political aims. Include determinants, consequences, measurement issues, and subgroup analyses. Exclude works solely about non-political volunteering unrelated to civic or political aims, or organizational reports without empirical measurement of individuals' political engagement.
5784	politisches verhalten und politische einstellungen	Research that examines both political behaviour (e.g., voting, turnout, contact, protest) and political attitudes (ideology, issue positions, party evaluations) and, importantly, their interrelationship.	Include empirical studies, theoretical work, and meta-analyses that measure political behaviour and political attitudes and explore causal or correlational links between them (e.g., how attitudes predict vote choice, how behaviour shapes attitudes over time). Accept election studies, longitudinal panel research, experimental studies on attitude-behaviour change, and comparative analyses. Exclude works that address only behaviour or only attitudes without explicitly linking the two, or studies focused on organizational behaviour unrelated to citizen-level political attitudes.
5801	politisches interesse	Works studying the concept, measurement, causes, and effects of citizens' political interest and attention to political life.	Relevant publications are those that explicitly define or measure 'political interest' — including its antecedents (education, media use, social capital), consequences (participation, knowledge), and temporal or cross-national variation. Include qualitative and quantitative studies, literature reviews, and measurement-focused articles. Exclude publications that use the term 'interest' in other contexts (e.g., vested interests, interest groups) without reference to individual political attention or curiosity.
5836	politisches wissen	Publications that analyze political knowledge (politisches Wissen) including its measurement, determinants, consequences, and cross-national comparisons in political behavior and civic education literatures.	Include studies, review articles, and book chapters that define or measure political knowledge (factual/cognitive knowledge about institutions, parties, policy), explore predictors (education, media use) or outcomes (political participation, vote choice), or validate political knowledge batteries; include national and comparative empirical analyses. Exclude works that only mention 'knowledge' in a non-political context (e.g., technical knowledge unrelated to politics), pedagogical materials without empirical evaluation, or purely philosophical discussions of knowledge that do not address political knowledge measurement or effects.
5843	populism	Scholarly works on populism as a political ideology, movement, or strategy including theoretical treatments, case studies, comparative analyses, and measurement debates.	Include theoretical articles defining populism (e.g., people-centrism, anti-elitism), empirical studies of populist parties/movements, comparative research on causes and consequences of populism, and methodological papers on measuring populism. Exclude publications that use 'populism' only as a vague rhetorical label without analytical treatment, media opinion pieces lacking scholarly analysis, or studies of unrelated political phenomena that do not engage with populism concepts or measures.
8657	populist attitudes	Empirical and theoretical publications focused specifically on populist attitudes at the individual level: development, measurement, correlates, and political consequences.	Include articles validating populist attitudes scales, studies linking populist attitudes to voting behavior or policy preferences, cross-national comparisons of populist attitudes, and longitudinal analyses of attitude change. Exclude works treating populism only as a party attribute, papers that discuss elite or organizational populism without measuring individual attitudes, or opinion pieces without empirical measurement.
7892	psychisch gesundheit	Publications on mental health (psychische Gesundheit) covering prevalence, determinants, outcomes, treatment, and public health interventions in clinical and population contexts.	Include epidemiological studies, clinical research, health services research, and policy evaluations that address mental health status, risk factors, comorbidity, wellbeing, and intervention effectiveness; include German- and international-focused studies when relevant. Exclude publications that only mention mental health tangentially (e.g., as a minor control variable) or solely focus on physical health without linking to mental health outcomes.
6492	psychische krankheiten	Scholarly and clinical publications on mental disorders (psychische Krankheiten): epidemiology, diagnosis, treatment, burden of disease, and health services research.	Include peer-reviewed epidemiological studies on prevalence and incidence of psychiatric disorders, clinical trials, diagnostic research, health policy analyses addressing mental disorder treatment and access, and reviews on specific disorders (depression, anxiety, psychosis, bipolar disorder). Exclude publications that use the term metaphorically or refer to non-clinical distress without diagnostic framing, and exclude non-scientific commentary lacking empirical data.
7893	psychological needs	Scholarly publications addressing human psychological needs, their theories (e.g., self-determination theory), empirical studies of need satisfaction/frustration, and interventions targeting psychological needs.	Relevant publications will focus on definitions, measurement, development, or effects of psychological needs (e.g., autonomy, competence, relatedness); theoretical frameworks (SDT, need theory), clinical or educational interventions to enhance needs, and population studies reporting need-related outcomes. Exclude papers that only mention 'needs' tangentially (e.g., basic needs in economics without psychological framing), non-psychological basic needs (food, shelter) unless linked to psychological need constructs, and purely physiological or neurological studies that do not relate findings to psychological need concepts.
34484	quality of health care	Publications on assessment, measurement, improvement, and determinants of health care quality including safety, effectiveness, patient-centeredness, timeliness, efficiency and equity.	Include systematic reviews, empirical studies, policy analyses, and theoretical papers that define, measure, compare, or attempt to improve health care quality (clinical outcomes, process indicators, patient experience, safety incidents, access and equity). Exclude works that focus exclusively on basic biomedical research unrelated to delivery of care, papers only about health care financing without quality outcomes, or informal commentary lacking empirical or methodological substance.
6086	refugee	Scholarly and policy publications concerning refugees and forced migrants: protection, health, integration, legal status, experiences of displacement, and related social, economic, and mental health outcomes.	Relevant publications address refugees, asylum seekers, and forced displacement (vs. voluntary migrants), covering legal/policy analysis, epidemiology, healthcare access, psychosocial outcomes, resettlement/integration, education, and livelihoods. Exclude studies focused solely on general migration without distinguishing forced migration, internal migration without cross-border displacement unless framed as forced displacement, and non-empirical anecdotes without systematic analysis.
1156	religion	Academic and policy works on religion: beliefs, practices, institutions, religiosity, secularization, interfaith relations, and the social, political and psychological roles of religion.	Include sociology, anthropology, psychology, history, and political science studies that analyze religious affiliation, practice (attendance, rituals), belief systems, church/state relations, religion's effects on behavior or well‑being, and comparative studies across faiths. Exclude purely theological exegesis not addressing empirical or social dimensions, corporate or organizational uses of 'religion' as metaphor without substantive religious content, or works that only incidentally mention religion.
35282	religion und weltanschauung	Publications addressing religion and weltanschauung (worldview/life stance): comparative studies of religious and non-religious worldviews, secular philosophies, life stances, ethics, and public expressions of worldview.	Include studies that examine both religion and weltanschauung/life stance (Weltanschauung), comparative analyses of religious beliefs and secular worldviews, legal and institutional treatment of worldviews, and measures of worldview identity and values. Exclude works only about religion without reference to worldview concepts when the query intends both, purely theological texts not engaging with 'weltanschauung', and philosophical treatises unrelated to social or empirical aspects of worldviews.
35290	religion und werte	Publications (articles, books, reports) addressing religion, religiosity, beliefs, and values, especially in German-speaking contexts or comparative studies including Germany.	Relevant publications are scholarly works that study religious affiliation, practices, beliefs, church attendance, personal and social values (e.g. moral values, value orientations like Schwartz values), religion's role in social or political attitudes, secularization, and religion–value relations. Include empirical studies, theoretical treatments, reviews, and comparative research that explicitly focus on religion and value systems, or include quantitative or qualitative analyses of values tied to religious variables. Prefer works in German or studies that analyze German-speaking samples. Non-relevant items are publications that only mention religion or values tangentially (e.g., passing reference without empirical/theoretical focus), purely theological texts unrelated to social-scientific study, popular press pieces, or materials focused exclusively on unrelated topics (e.g., ritual studies with no value or attitudinal component).
31054	schule	Scholarly publications about schools, schooling, educational processes and outcomes at primary and secondary levels, with emphasis on German educational contexts.	Relevant publications examine school systems, teaching and learning, classroom practices, school organization, school effectiveness, student outcomes (achievement, attainment), school transition, tracking, inclusive education, and policy studies focused on primary and secondary schools. Include empirical studies, program evaluations, comparative education research, and reports on German schools or German-speaking regions. Exclude items focused exclusively on higher education/university, early childhood (unless explicitly linked to school entry), vocational training outside the school context, or non-educational uses of the word 'school' (e.g. schools of thought) without relation to formal schooling.
33106	self esteem deutsch	Publications about self-esteem that are written in German or focus on German-speaking samples, addressing theory, measurement, development, correlates, and outcomes of self-esteem.	Relevant publications are empirical studies, reviews, and theoretical pieces examining global and domain-specific self-esteem, its antecedents and consequences, and validation of German translations of self-esteem scales. Include work on adolescent and adult self-esteem in German samples, cross-cultural comparisons involving German versions, and psychometric analyses of German instruments. Exclude publications that only mention self-esteem peripherally, non-scientific articles, or studies focusing on unrelated constructs without reference to self-esteem.
3332	self determination	Scholarly works on self-determination, autonomy, and Self-Determination Theory (SDT), including theoretical, empirical, and applied research across contexts.	Relevant publications discuss self-determination as a psychological construct (autonomy, competence, relatedness), Self-Determination Theory research, motivation, volition, self-regulation, and autonomy-supportive contexts in education, work, health, or social domains. Include validation studies of SDT constructs, interventions to enhance autonomy, and cross-cultural examinations. Exclude papers using 'self-determination' in unrelated legal/medical contexts (e.g. advance directives) unless they address psychological autonomy or motivation explicitly.
1259	sexuelle orientierung	Academic publications on sexual orientation, including identity, attraction, behavior, social attitudes, discrimination, and health, especially in German-language research or German-speaking samples.	Relevant publications investigate sexual orientation (heterosexual, homosexual, bisexual, asexual, and other orientations), identity development, attraction and behavioral measures, minority stress, discrimination, legal and social status, and health disparities. Include empirical studies, policy reports, and theoretical work focused on German-speaking populations or comparative research including Germany/Austria/Switzerland. Exclude materials that conflate sexual orientation solely with gender identity without clear focus on orientation, or publications that only mention orientation peripherally without substantive analysis.
4953	sinn der arbeit	Publications (articles, books, reports) that study the concept of 'meaning of work' (Sinn der Arbeit) including theoretical frameworks, empirical studies, cross-cultural comparisons, and policy implications.	Relevant publications are empirical and theoretical works explicitly addressing the meaning, purpose, sense, or meaningfulness of work or employment (including vocational calling, work values, and existential/work identity). Include studies in German or English that develop or apply measures of work meaningfulness, qualitative interview studies about workers' experiences, longitudinal or comparative research on changes in meaning of work, and policy or organizational analyses that discuss implications for wellbeing or HR practice. Exclude works that only mention 'work' in passing without addressing meaning (e.g., purely economic productivity studies), publications focused solely on job satisfaction or pay where meaningfulness is not a focus, and materials about volunteer work if they do not relate to perceived meaning of occupational activities.
1537	social media	Publications on social media as a phenomenon, platform studies, user behavior, effects of social media, policy, and methodological approaches to studying social media.	Relevant publications explicitly focus on social media platforms, usage patterns, effects on communication/health/politics/economy, platform governance, content moderation, algorithmic impacts, social network analysis of social media, or methods for collecting/analyzing social media data. Include empirical studies, theoretical treatments, reviews, and comparative platform analyses. Exclude works that use 'social media' as a cursory example without substantive analysis, or publications solely about traditional media with no link to social media platforms.
37900	social media survey	Publications reporting on surveys about social media use, attitudes toward social media, effects of social media, or methodology of surveying social media users.	Include empirical reports, articles, and technical notes that present survey results specifically about social media (frequency, motives, platform comparison), methodological discussions on surveying social media users (sampling, representativeness), and evaluations of survey modes for capturing social media behavior. Exclude general surveys that incidentally include a single unrelated question about social media without analysis, and qualitative studies without a survey component unless they present mixed-method survey findings.
37915	social media nutzung	Publications in German or English studying social media use (Nutzung), including patterns, motives, demographics, effects, and cross-cultural comparisons of platform usage.	Relevant publications explicitly investigate 'social media use' (Nutzung), such as empirical analyses of usage frequency, platform preferences, usage contexts, age/gender differences in use, motivations for use, and consequences of use. Include national studies, panel analyses, and qualitative work focused on how people use social media. Exclude studies that discuss social media platforms theoretically without empirical focus on usage behavior, or those solely about technical platform features without linking to user behavior.
5535	social presence	Publications addressing the concept of social presence in communication, online learning, virtual teams, and computer-mediated environments, including theoretical development and empirical measurement.	Include theoretical and empirical studies that define, operationalize, or measure social presence (the sense of being with others) in online contexts such as e-learning, virtual collaboration, social media, and telecommunication. Include scale development/validation, experimental studies manipulating social presence, and meta-analyses. Exclude uses of the term 'presence' that refer only to physical presence, presence in public spaces without mediated interaction, or unrelated psychological constructs unless explicitly tied to social presence.
38133	sozial	Publications (articles, books, reports, conference papers) addressing social phenomena, social policy, social welfare, social services, social behavior, or uses of the adjective 'sozial' in social-science contexts.	Include works whose primary focus is on social issues, social policy, social welfare, social behavior, social institutions or social theory; include empirical studies, theoretical analyses, reviews, and policy reports where 'sozial' denotes social aspects. Exclude records where 'sozial' appears only in organizational names, commercial product names, or as an incidental word without connection to social science topics; exclude purely medical uses unrelated to social dimensions unless they explicitly address social determinants or social aspects of health.
5132	sozial kompetenz	Publications on social competence (sozialkompetenz) including theory, measurement, development, interventions, education, and outcomes in children, adolescents, adults, and occupational contexts.	Include empirical studies, theoretical papers, reviews, and program evaluations that define, measure, or intervene on social competence (e.g., prosocial behavior, social skills, interpersonal competence, emotional regulation as part of social functioning) across settings (school, workplace, clinical). Include psychometric studies of social competence scales and cross-cultural comparisons. Exclude works that use the phrase only tangentially (e.g., listing 'social competence' among many unrelated factors without substantive focus), and exclude publications focused solely on unrelated competencies (technical, cognitive) unless linked to social competence.
1101	soziale ungleichheit	Scholarly and policy publications on social inequality (soziale Ungleichheit): causes, patterns, measurement, consequences across income, education, health, gender, race/ethnicity, region, and life course.	Include empirical analyses, theoretical treatments, comparative studies, and policy evaluations that focus on social inequality, social stratification, distributive outcomes, mobility, poverty, or disparities in well-being. Include cross-national, longitudinal, and cohort studies and works that operationalize inequality (Gini, percentiles, gradients). Exclude publications where inequality is mentioned only peripherally, or studies of purely technical inequality measures in non-social domains (e.g., algorithmic inequality) unless explicitly linked to social inequality.
1706	soziale schicht	Publications addressing social class (soziale Schicht), class stratification, class identity, class mobility, and class-related measurement and theory in sociology and related fields.	Include empirical and theoretical works that define, measure, or analyze social class/stratum, class effects on life chances, class consciousness, and class-based inequalities; include comparative and historical studies and research using class schemas (e.g., EGP, Goldthorpe). Exclude uses of 'Schicht' in geological or technical contexts or studies that use occupational labels without interpreting them as class or stratification variables.
2521	soziale netzwerke	Publications on social networks (soziale Netzwerke), including theory, empirical network studies, social network analysis (SNA), online/offline networks, social capital, and diffusion processes.	Include theoretical and empirical studies that investigate social ties, network structures, social capital, diffusion, influence, and methodological work on SNA; include applications across sociology, communication, public health, organizations, and political science. Exclude studies using 'network' in purely technical or computer-networking contexts unless they explicitly study social relations or human-centered networks.
2589	soziale kontakte	Publications that study interpersonal social contacts, networks and contact frequency/quality across populations (e.g., social network studies, loneliness/contact deprivation, contact patterns during COVID-19, time-use/contact-diary research).	Include empirical articles, reviews, books and reports that explicitly address social contacts, ties or contact patterns (keywords: social contacts, contact frequency, social ties, social network, contact diary, social isolation, social support). Relevant populations: children, adolescents, adults, elderly, and specific groups (immigrants, patients). Include cross-sectional and longitudinal research, comparative and country-specific studies. Exclude items that use the word 'contact' only in unrelated senses (e.g., business contacts with no interpersonal/social content) or purely theoretical works that do not address measurable social contact constructs.
3856	soziale interaktion	Publications on social interaction processes and behaviours at micro- and meso-levels (e.g., conversational analysis, face-to-face interaction, group interaction, interaction patterns in organizations, observational and experimental studies).	Include empirical and theoretical works that explicitly examine social interaction, interactional dynamics, communication behaviors, and situational/interpersonal processes (keywords: social interaction, interactional patterns, conversation analysis, nonverbal behavior, microinteraction). Include laboratory experiments, field observations, ethnographies, and interaction coding studies. Exclude broad papers that mention social interaction only tangentially or use the term metaphorically without studying interactional processes.
39837	soziale validität beruf	Publications addressing the social validity of vocational programs, workplace interventions and employment-related measures — i.e., acceptability, relevance and social importance of interventions in occupational contexts.	Include empirical evaluations, program reports and theoretical discussions that assess social validity in employment/vocational settings (keywords: social validity, acceptability, vocational training, workplace intervention, job coaching, employment programs). Include stakeholder perspectives (participants, employers), feasibility/acceptability studies, and outcome evaluations that report social validity indicators. Exclude generic validity literature (psychometric validity) unless explicitly about social validity in vocational contexts.
40249	soziale herkunft	Publications on social origin/background and its effects — parental socioeconomic status, education, occupation, cultural capital and intergenerational mobility across education, income and occupations.	Include empirical studies, reviews and theoretical works that explicitly address social origin, social background, or parental SES as determinants of life-course outcomes (keywords: social origin, parental background, intergenerational mobility, social class, family background). Cover education, labor-market outcomes, health and inequality research linking parental circumstances to offspring outcomes. Exclude works focusing only on individual adult SES without reference to family origin.
4034	soziale ungleichheit	Publications on social inequality and stratification across domains (income, wealth, education, health, gender, ethnicity), including causes, consequences, trends and policy responses.	Include empirical analyses, theoretical treatments and policy studies that address patterns and drivers of social inequality (keywords: social inequality, inequality, social stratification, income inequality, health disparities, educational inequality). Cover cross-country comparisons, longitudinal trend studies, and evaluations of redistributive policies. Exclude narrowly technical econometric papers that mention inequality only as a secondary topic without substantive analysis.
40514	soziale kompetenz	Publications (articles, reports, books, theses) that study or review 'social competence' (soziale Kompetenz) as an individual-level construct: definitions, development, determinants, correlates, interventions and outcomes across age groups and contexts (children, adolescents, adults, workplace, schools, clinical settings). Includes empirical studies, systematic reviews and theoretical papers in German or English that explicitly operationalize or measure social competence or closely related constructs (social skills, interpersonal competence, prosocial behavior, emotional competence).	Relevant: empirical or theoretical works whose main focus is individual social competence or directly comparable constructs (e.g., interpersonal skills, social-emotional competence), including intervention evaluations and developmental studies. Include works in educational, clinical, organizational or community contexts. Not relevant: publications that use 'competence' only in organizational/occupational senses (e.g., institutional competence), broad constructs like social capital or social inclusion unless they explicitly measure individual social competence, or purely technological descriptions without human social-skill content.
40674	soziale arbeit	Publications on social work (soziale Arbeit): theory, history, professional practice, methods, ethics, policy, education and training, empirical evaluations of social work interventions, case studies and program reports in community, clinical, school, child welfare, mental health, geriatric and other social service settings.	Relevant: books, journal articles, reports and theses whose primary focus is social work practice, education, policy or research (including program evaluations and professional guidelines). Include both German- and English-language works that address social work at micro, mezzo and macro levels. Not relevant: documents that use the phrase 'social work' incidentally (e.g., volunteer community activities) without professional/practice focus, or publications about adjacent disciplines (e.g., social policy, sociology) unless they centrally address social work roles, interventions or workforce issues.
41348	soziale medien nutzung	Publications addressing social media use (soziale Medien Nutzung): empirical and theoretical studies on patterns, motives, frequency, intensity, platform-specific behaviors, impacts on mental health, political communication, identity, privacy, digital literacy and media effects across populations.	Relevant: studies and reviews that explicitly investigate how people use social media (usage patterns, motives, time spent, active vs passive use, platform choice), including experimental, survey, qualitative and mixed-methods research. Include policy reports and media-usage trend analyses. Not relevant: publications about social media platforms' technical architecture without user-behavior focus, or broad 'social media' mentions that do not examine user use or user-related outcomes.
41495	soziale medien	Publications on social media (soziale Medien) broadly: studies of platforms, content, users, societal effects (misinformation, political mobilization, public health communication), business models, regulation, governance, platform design, digital culture and cross-cutting theoretical work on social media phenomena.	Relevant: empirical and theoretical works that focus on social media platforms, their societal roles, user practices, content dynamics, governance and policy implications, including interdisciplinary perspectives (communication, sociology, political science, media studies). Not relevant: papers that only mention social media in passing or focus solely on unrelated technologies without engagement with social media's societal/user aspects.
41546	soziale netzwerke	Publications on social networks (soziale Netzwerke): theoretical and empirical work on interpersonal and organizational networks, network structure and dynamics, social network analysis (SNA) methods, friendship/communication networks, diffusion processes, homophily, centrality and applications in sociology, epidemiology, organizational studies and online networks.	Relevant: works focusing on social network theory, methodology and empirical analyses of ties among actors (individuals, groups, organizations), including studies of network formation, diffusion, influence and structural properties. Include both offline and online network studies. Not relevant: papers that use the phrase 'network' metaphorically without analysis of relational ties or graph-structured data, or purely technical network-engineering topics unrelated to social relations.
41646	soziale mobilität	Publications (articles, books, reports) on social mobility and status change across generations or life-course, including educational, occupational and income mobility; comparative and national studies, mobility theory and measurement.	Include empirical and theoretical works that investigate change in social status between origin and destination (intergenerational mobility) or within individual life-courses (intra‑generational mobility). Relevant studies address determinants and consequences of upward/downward mobility, mobility tables and indices, cohort comparisons, and policy-related analyses. Exclude literature focusing on spatial/geographic mobility (migration, commuting) or unrelated uses of the term 'mobility' (e.g. physical mobility in health) unless social/occupational status change is central.
5263	soziale herkunft	Publications addressing social origin, family background and their effects on educational attainment, labour market outcomes, cultural capital, health and inequality.	Include empirical studies and theoretical treatments on how parental socioeconomic status, education, occupation, and family resources shape life chances (education, employment, health). Works on intergenerational transmission, social reproduction, childhood context and policy interventions are relevant. Exclude publications that use 'origin' only in a geographic or non‑socioeconomic sense without considering family background or childhood socioeconomic indicators.
40086	sozio politische einstellungen	Publications on socio‑political attitudes and values, including political ideology, policy preferences, political trust, party identification, civic attitudes and public opinion research.	Include research examining the nature, distribution, determinants and consequences of socio‑political attitudes (e.g. left–right orientation, policy issue positions, authoritarian attitudes, trust in institutions). Comparative and national public opinion studies, longitudinal attitude change, and work linking social characteristics to political attitudes are relevant. Exclude studies that address social behaviours without linking to political attitudes or those focused solely on non‑political social attitudes.
2741	sport	Publications on sport and physical activity, including sports sociology, sport participation, public health studies on physical activity, organized sport, youth sport and sports policy.	Include research that examines participation rates, determinants of sport involvement, effects of sport on health and social outcomes, sport club membership, elite sport and policy/intervention studies promoting physical activity. Both population‑level and specialized studies (e.g. youth sports, gender differences) are relevant. Exclude literature solely about sports history or biographical material unless it bears on social or health research questions.
37003	stress lehrer	Publications on teacher stress, burnout, workload, occupational health of teachers, classroom-related stressors and interventions to reduce stress in educational settings.	Include empirical studies, reviews and intervention evaluations that focus on stress, psychological strain, burnout and well‑being among teachers at all levels (primary, secondary, vocational). Relevant topics include causes (workload, class size, student behaviour), consequences (absenteeism, turnover), and prevention/therapy. Exclude studies on student stress or general occupational stress not specifically addressing teachers.
